127.0.0.1 - - [07/May/2018:09:40:57 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/bspg/home HTTP/1.1" 200 28867
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/css/bootstrap-reboot.min.css HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/css/bootstrap-grid.min.css HTTP/1.1" 200 34243
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/css/zhz233-common.css HTTP/1.1" 200 54541
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/js/zhz233-common.js HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/js/bootstrap.bundle.min.js HTTP/1.1" 200 67742
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/img/sy_public_blzy.gif HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/img/sy_public_lol.gif HTTP/1.1" 200 3776
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/js/zhz233-home.js HTTP/1.1" 200 3161
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/img/sy_public_pc.gif HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/img/sy_public_cj.gif HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [07/May/2018:09:41:53 +0800] "GET /zhz233/img/sy_public_logo.gif HTTP/1.1" 200 9547
